,date,count_case,Holiday_name
0,2017/1/1,5,New Year‘s day
1,2017/1/15,4,Martin Luther King‘s day
2,2017/2/20,2,prisidents‘ day
3,2017/5/29,1,Remembrance day
4,2017/7/4,6,Independence day
5,2017/9/4,2,Labor day
6,2017/10/12,2,Columbus day
7,2017/11/11,3,Veterans day
8,2017/11/23,4,Thanksgiving day
9,2018/1/1,2,New Year‘s day
10,2018/1/15,1,Martin Luther King‘s day
11,2018/2/19,2,prisidents‘ day
12,2018/7/4,2,Independence day
13,2018/9/3,1,Labor day
14,2018/10/8,3,Columbus day
15,2018/11/11,2,Veterans day
16,2018/11/22,1,Thanksgiving day
17,2018/12/25,2,Christmas day
18,2019/1/1,2,New Year‘s day
19,2019/1/15,3,Martin Luther King‘s day
20,2019/2/18,2,prisidents‘ day
21,2019/5/27,2,Remembrance day
22,2019/7/4,2,Independence day
23,2019/9/2,2,Labor day
24,2019/10/14,3,Columbus day
25,2019/11/11,3,Veterans day
26,2019/11/28,2,Thanksgiving day
27,2019/12/25,2,Christmas day
28,2020/1/1,4,New Year‘s day
29,2020/1/15,4,Martin Luther King‘s day
30,2020/2/17,2,prisidents‘ day
31,2020/5/25,5,Remembrance day
32,2020/7/4,2,Independence day
33,2020/10/12,1,Columbus day
34,2020/11/11,2,Veterans day
35,2020/11/26,1,Thanksgiving day
36,2021/1/15,2,Martin Luther King‘s day
37,2021/5/30,2,Remembrance day
38,2021/7/4,2,Independence day
39,2021/9/6,1,Labor day
40,2022/1/1,1,New Year‘s day
